,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,lot1_numero,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
736796,2020-302476,2020-02-06,1,Vente,325000.0,7.0,RUE DES CYCLADES,0225,34470.0,34198,Pérols,34,34198000AB0251,10.0,1,1.0,Maison,101.0,5.0,S,sols,450.0,3.947479,43.565949
1806197,2020-763581,2020-07-09,1,Vente,295000.0,17.0,RUE LAMARTINE,0890,77220.0,77215,Gretz-Armainvilliers,77,772150000D1626,80.0,1,1.0,Maison,118.0,6.0,S,sols,383.0,2.724285,48.742346
260999,2020-114432,2020-08-06,1,Vente,594200.0,276.0,CHE DU PARADOU,6623,13760.0,13091,Saint-Cannat,13,13091000BI0061,1.0,1,1.0,Maison,119.0,5.0,AG,terrains d'agrément,500.0,5.297636,43.612865
1717219,2020-722406,2020-09-16,1,Vente,105000.0,17.0,RUE JEAN COCTEAU,0420,72470.0,72054,Champagné,72,72054000AC0654,28.0,1,1.0,Maison,79.0,5.0,S,sols,380.0,0.331141,48.020631
1638160,2020-691104,2020-09-03,2,Vente,823200.0,62.0,CHE DU TAFFIGNON,1040,69110.0,69202,Sainte-Foy-lès-Lyon,69,69202000AX0004,1.0,1,4.0,Local industriel. commercial ou assimilé,27.0,0.0,J,jardins,833.0,4.777456,45.727394
128684,2020-57218,2020-06-16,1,Vente,854000.0,3.0,TRA DU ROURE DE LA GACHE,4201,6130.0,6069,Grasse,6,06069000DK0078,2.0,1,1.0,Maison,197.0,6.0,S,sols,450.0,6.968963,43.645542
1983201,2020-841741,2020-01-23,1,Vente,440000.0,51.0,IMP DES AGLANIE,0014,83600.0,83061,Fréjus,83,83061000AO0743,2.0,1,1.0,Maison,112.0,4.0,S,sols,565.0,6.765108,43.461611
263991,2020-115910,2020-02-05,1,Vente,337000.0,95.0,ALL D'ALSACE,0981,13127.0,13117,Vitrolles,13,13117000DH0021,431.0,1,1.0,Maison,93.0,6.0,S,sols,344.0,5.239021,43.457009
916471,2020-383177,2020-07-18,1,Vente,155000.0,3.0,RUE DES MURIERS,0278,40480.0,40328,Vieux-Boucau-les-Bains,40,40328000AL0077,7.0,1,2.0,Appartement,45.0,3.0,J,jardins,43.0,-1.401025,43.785225
1898135,2020-806007,2020-03-05,1,Vente,88200.0,64.0,RUE DE PARIS,0520,78550.0,78310,Houdan,78,78310000AB0033,30.0,1,2.0,Appartement,63.0,3.0,AG,terrains d'agrément,52.0,1.599851,48.791806
1836147,2020-776093,2020-01-21,1,Vente,230000.0,8.0,ALL DE VALOIS,0470,77165.0,77437,Saint-Soupplets,77,77437000AB0239,77.0,1,1.0,Maison,101.0,5.0,S,sols,222.0,2.809456,49.03823
1776658,2020-749604,2020-06-10,1,Vente,158950.0,118.0,AV RENE COTY,6863,76600.0,76351,Le Havre,76,76351000JJ0040,35.0,1,2.0,Appartement,70.0,3.0,S,sols,5.0,0.116386,49.497985
1758434,2020-740469,2020-05-27,1,Vente,80000.0,188.0,CHE DE LA RENOUILLERE,0380,74140.0,74263,Sciez,74,74263000BY0029,48,1,1.0,Maison,45.0,3.0,S,sols,162.0,6.394191,46.341142
651245,2020-265683,2020-06-26,1,Vente,175750.0,111.0,AV MARCELIN BERTHELOT,1180,33110.0,33069,Le Bouscat,33,33069000AH0230,2.0,1,1.0,Maison,55.0,4.0,S,sols,90.0,-0.579872,44.864636
262975,2020-115391,2020-12-14,1,Vente,500000.0,100.0,CHE DE CABRIERES HAUT,0050,13410.0,13050,Lambesc,13,13050000CM0234,1.0,1,1.0,Maison,110.0,4.0,S,sols,1000.0,5.279724,43.644103
627199,2020-257564,2020-08-05,1,Vente,211000.0,12.0,RUE DES ACACIAS,0010,31270.0,31588,Villeneuve-Tolosane,31,31588000AH0026,69.0,1,1.0,Maison,76.0,3.0,S,sols,590.0,1.333962,43.531571
2067882,2020-883687,2020-10-13,1,Vente,200000.0,2.0,RES DU PUITS PIGNOLET,A086,85330.0,85163,Noirmoutier-en-l'Île,85,85163000BM0268,2.0,1,1.0,Maison,73.0,4.0,S,sols,263.0,-2.239596,47.004708
893452,2020-373888,2020-09-11,1,Vente,175800.0,24.0,BOURGUIGNONS,B013,39100.0,39078,Brevans,39,39078000ZC0127,111.0,1,1.0,Maison,97.0,5.0,S,sols,85.0,5.513208,47.101005
917969,2020-383800,2020-08-25,1,Vente,57000.0,37.0,RES LOU PIGNADA,A060,40130.0,40065,Capbreton,40,40065000AO0212,2,1,2.0,Appartement,43.0,3.0,J,jardins,119.0,-1.423933,43.646967
1481953,2020-622448,2020-10-13,1,Vente,221500.0,3.0,AV DU BOIS BRANDIN,0100,60580.0,60172,Coye-la-Forêt,60,60172000AM0337,1107.0,1,2.0,Appartement,66.0,3.0,AG,terrains d'agrément,45.0,2.468672,49.138571
1815322,2020-767594,2020-11-03,1,Vente,344100.0,2.0,IMP VIORNET,0585,77390.0,77352,Ozouer-le-Voulgis,77,773520000Z0188,7.0,1,1.0,Maison,93.0,5.0,S,sols,658.0,2.773732,48.665176
1304399,2020-539816,2020-06-08,1,Vente,500000.0,45.0,RUE DE L YRON,0840,54800.0,54273,Jarny,54,54273000AC0295,1.0,1,2.0,Appartement,61.0,3.0,S,sols,561.0,5.864268,49.164642
1648962,2020-695856,2020-09-28,1,Vente,145000.0,70.0,ALL MON VILLAGE,0214,69610.0,69203,Saint-Genis-l'Argentière,69,692030000B0991,17,1,2.0,Appartement,72.0,3.0,AG,terrains d'agrément,216.0,4.493672,45.70922
1612846,2020-678178,2020-06-30,1,Vente,403000.0,43.0,ALL DE LA SCARPE,0660,69140.0,69286,Rillieux-la-Pape,69,69286000BO0157,11,1,1.0,Maison,107.0,6.0,S,sols,262.0,4.889793,45.825996
